GHLFSAM,GRGC,GVARSTR,RFPOV,RHCALMN,RHCALYR,SROTATON,SSUSEQ,TFTOTINC,WHFNWGT,SSUID
1,5,28,1141,1,2012,4,17493,4360,3791.2622,495925743899
1,5,28,1146,2,2012,4,17493,4360,3830.1548,495925743899
1,5,28,1155,3,2012,4,17493,4360,3739.6636,495925743899
1,5,28,1136,12,2011,4,17493,4360,3741.6953,495925743899
1,5,28,1141,1,2012,4,17493,4360,3791.2622,495925743899
1,5,28,1146,2,2012,4,17493,4360,3830.1548,495925743899
1,5,28,1155,3,2012,4,17493,4360,3739.6636,495925743899
2,94,28,1470,12,2011,4,17412,7966,3382.9958,495925651470
2,94,28,1477,1,2012,4,17412,7966,3462.0422,495925651470
2,94,28,1483,2,2012,4,17412,7966,3448.4980,495925651470
2,94,28,1495,3,2012,4,17412,7966,3378.9702,495925651470
2,94,28,1470,12,2011,4,17412,7966,3382.9958,495925651470
2,94,28,1477,1,2012,4,17412,7966,3462.0422,495925651470
2,94,28,1483,2,2012,4,17412,7966,3448.4980,495925651470
2,94,28,1495,3,2012,4,17412,7966,3378.9702,495925651470
2,94,28,1470,12,2011,4,17412,7966,3382.9958,495925651470
2,94,28,1477,1,2012,4,17412,7966,3462.0422,495925651470
2,94,28,1483,2,2012,4,17412,7966,3448.4980,495925651470
2,94,28,1495,3,2012,4,17412,7966,3378.9702,495925651470
1,97,43,983,9,2011,1,36034,4669,4522.8916,837925651092
1,97,43,981,10,2011,1,36034,4669,4448.7188,837925651092
1,97,43,980,11,2011,1,36034,4669,4277.2827,837925651092
1,97,43,978,12,2011,1,36034,4669,4171.7158,837925651092
1,20,28,1265,9,2011,1,36038,7272,4597.6084,837925651363
1,20,28,1263,10,2011,1,36038,7272,4435.8262,837925651363
1,20,28,1262,11,2011,1,36038,7272,4408.4180,837925651363
1,20,28,1259,12,2011,1,36038,7272,4297.6968,837925651363
1,20,28,1265,9,2011,1,36038,7272,4597.6084,837925651363
1,20,28,1263,10,2011,1,36038,7272,4435.8262,837925651363
1,20,28,1262,11,2011,1,36038,7272,4408.4180,837925651363
1,20,28,1259,12,2011,1,36038,7272,4297.6968,837925651363
1,89,28,983,9,2011,1,36036,700,5271.9668,837925651280
1,89,28,981,10,2011,1,36036,700,5321.3281,837925651280
1,89,28,980,11,2011,1,36036,600,5202.6147,837925651280
1,89,28,978,12,2011,1,36036,500,5193.3145,837925651280
2,72,17,1913,10,2011,2,38850,3720,5968.1533,952860398092
2,72,17,1911,11,2011,2,38850,3720,6074.0781,952860398092
2,72,17,1906,12,2011,2,38850,3720,5894.4023,952860398092
2,72,17,1915,1,2012,2,38850,3720,5699.0625,952860398092
2,72,17,1913,10,2011,2,38850,3720,5968.1533,952860398092
2,72,17,1911,11,2011,2,38850,3720,6074.0781,952860398092
2,72,17,1906,12,2011,2,38850,3720,5894.4023,952860398092
2,72,17,1915,1,2012,2,38850,3720,5699.0625,952860398092
2,72,17,1913,10,2011,2,38850,3720,5968.1533,952860398092
2,72,17,1911,11,2011,2,38850,3720,6074.0781,952860398092
2,72,17,1906,12,2011,2,38850,3720,5894.4023,952860398092
2,72,17,1915,1,2012,2,38850,3720,5699.0625,952860398092
2,72,17,1913,10,2011,2,38850,3720,5968.1533,952860398092
2,72,17,1911,11,2011,2,38850,3720,6074.0781,952860398092
2,72,17,1906,12,2011,2,38850,3720,5894.4023,952860398092
2,72,17,1915,1,2012,2,38850,3720,5699.0625,952860398092
2,72,17,2823,10,2011,2,38680,10086,5968.1533,952379398092
2,72,17,2820,11,2011,2,38680,10086,6074.0781,952379398092
2,72,17,2813,12,2011,2,38680,10086,5894.4023,952379398092
2,72,17,2826,1,2012,2,38680,10086,5412.6382,952379398092
2,72,17,2823,10,2011,2,38680,10086,5968.1533,952379398092
2,72,17,2820,11,2011,2,38680,10086,6074.0781,952379398092
2,72,17,2813,12,2011,2,38680,10086,5894.4023,952379398092
2,72,17,2826,1,2012,2,38680,10086,5412.6382,952379398092
2,72,17,2823,10,2011,2,38680,10086,5968.1533,952379398092
2,72,17,2820,11,2011,2,38680,10086,6074.0781,952379398092
2,72,17,2813,12,2011,2,38680,10086,5894.4023,952379398092
2,72,17,2826,1,2012,2,38680,10086,5412.6382,952379398092
2,72,17,2823,10,2011,2,38680,10086,5968.1533,952379398092
2,72,17,2820,11,2011,2,38680,10086,6074.0781,952379398092
2,72,17,2813,12,2011,2,38680,10086,5894.4023,952379398092
2,72,17,2826,1,2012,2,38680,10086,5412.6382,952379398092
2,72,17,2823,10,2011,2,38680,10086,5968.1533,952379398092
2,72,17,2820,11,2011,2,38680,10086,6074.0781,952379398092
2,72,17,2813,12,2011,2,38680,10086,5894.4023,952379398092
2,72,17,2826,1,2012,2,38680,10086,5412.6382,952379398092
2,72,17,2823,10,2011,2,38680,10086,5968.1533,952379398092
2,72,17,2820,11,2011,2,38680,10086,6074.0781,952379398092
2,72,17,2813,12,2011,2,38680,10086,5894.4023,952379398092
2,72,17,2826,1,2012,2,38680,10086,5412.6382,952379398092
2,72,17,2823,10,2011,2,38680,10086,5968.1533,952379398092
2,72,17,2820,11,2011,2,38680,10086,6074.0781,952379398092
2,72,17,2813,12,2011,2,38680,10086,5894.4023,952379398092
2,72,17,2826,1,2012,2,38680,10086,5412.6382,952379398092
2,72,17,1913,10,2011,2,38764,7917,3250.8003,952454398092
2,72,17,1911,11,2011,2,38764,7917,3265.6689,952454398092
2,72,17,1906,12,2011,2,38764,7917,3320.6377,952454398092
2,72,17,1915,1,2012,2,38764,7917,3165.4502,952454398092
2,72,17,1913,10,2011,2,38764,7917,3250.8003,952454398092
2,72,17,1911,11,2011,2,38764,7917,3265.6689,952454398092
2,72,17,1906,12,2011,2,38764,7917,3320.6377,952454398092
2,72,17,1915,1,2012,2,38764,7917,3165.4502,952454398092
2,72,17,1913,10,2011,2,38764,7917,3250.8003,952454398092
2,72,17,1911,11,2011,2,38764,7917,3265.6689,952454398092
2,72,17,1906,12,2011,2,38764,7917,3320.6377,952454398092
2,72,17,1915,1,2012,2,38764,7917,3165.4502,952454398092
2,72,17,1913,10,2011,2,38764,7917,3250.8003,952454398092
2,72,17,1911,11,2011,2,38764,7917,3265.6689,952454398092
2,72,17,1906,12,2011,2,38764,7917,3320.6377,952454398092
2,72,17,1915,1,2012,2,38764,7917,3165.4502,952454398092
2,25,17,1263,10,2011,2,39257,202,5442.3066,952925651467
2,25,17,1262,11,2011,2,39257,202,5477.8965,952925651467
2,25,17,1259,12,2011,2,39257,202,5476.6758,952925651467
2,25,17,1264,1,2012,2,39257,202,5362.6880,952925651467
2,25,17,1263,10,2011,2,39257,202,5442.3066,952925651467
2,25,17,1262,11,2011,2,39257,202,5477.8965,952925651467
2,25,17,1259,12,2011,2,39257,202,5476.6758,952925651467
2,25,17,1264,1,2012,2,39257,202,5362.6880,952925651467
2,21,43,1913,10,2011,2,39253,0,4912.8389,952925651092
2,21,43,1911,11,2011,2,39253,0,4871.3633,952925651092
2,21,43,1906,12,2011,2,39253,0,5280.0000,952925651092
2,21,43,1915,1,2012,2,39253,0,5318.2334,952925651092
2,21,43,1913,10,2011,2,39253,0,4912.8389,952925651092
2,21,43,1911,11,2011,2,39253,0,4871.3633,952925651092
2,21,43,1906,12,2011,2,39253,0,5280.0000,952925651092
2,21,43,1915,1,2012,2,39253,0,5318.2334,952925651092
2,21,43,1913,10,2011,2,39253,0,4912.8389,952925651092
2,21,43,1911,11,2011,2,39253,0,4871.3633,952925651092
2,21,43,1906,12,2011,2,39253,0,5280.0000,952925651092
2,21,43,1915,1,2012,2,39253,0,5318.2334,952925651092
2,21,43,1913,10,2011,2,39253,0,4912.8389,952925651092
2,21,43,1911,11,2011,2,39253,0,4871.3633,952925651092
2,21,43,1906,12,2011,2,39253,0,5280.0000,952925651092
2,21,43,1915,1,2012,2,39253,0,5318.2334,952925651092
2,13,43,1913,10,2011,2,39252,18605,4689.1021,952925651033
2,13,43,1911,11,2011,2,39252,18605,4726.4995,952925651033
2,13,43,1906,12,2011,2,39252,18605,4734.9883,952925651033
2,13,43,1915,1,2012,2,39252,18605,4484.8057,952925651033
2,13,43,1913,10,2011,2,39252,18605,4689.1021,952925651033
2,13,43,1911,11,2011,2,39252,18605,4726.4995,952925651033
2,13,43,1906,12,2011,2,39252,18605,4734.9883,952925651033
2,13,43,1915,1,2012,2,39252,18605,4484.8057,952925651033
2,13,43,1913,10,2011,2,39252,18605,4689.1021,952925651033
2,13,43,1911,11,2011,2,39252,18605,4726.4995,952925651033
2,13,43,1906,12,2011,2,39252,18605,4734.9883,952925651033
2,13,43,1915,1,2012,2,39252,18605,4484.8057,952925651033
2,13,43,1913,10,2011,2,39252,18605,4689.1021,952925651033
2,13,43,1911,11,2011,2,39252,18605,4726.4995,952925651033
2,13,43,1906,12,2011,2,39252,18605,4734.9883,952925651033
2,13,43,1915,1,2012,2,39252,18605,4484.8057,952925651033
2,94,28,981,10,2011,2,39261,9637,3165.1079,952925651966
2,94,28,980,11,2011,2,39261,9637,3206.3274,952925651966
2,94,28,978,12,2011,2,39261,9637,3190.2585,952925651966
2,94,28,982,1,2012,2,39261,9637,3434.9106,952925651966
2,18,28,1944,11,2011,3,24044,5768,3359.9812,644925651851
2,18,28,1939,12,2011,3,24044,6244,3398.7932,644925651851
2,18,28,1947,1,2012,3,24044,5644,3530.8037,644925651851
2,18,28,1956,2,2012,3,24044,5520,3504.7129,644925651851
2,18,28,1944,11,2011,3,24044,5768,3359.9812,644925651851
2,18,28,1939,12,2011,3,24044,6244,3398.7932,644925651851
2,18,28,1947,1,2012,3,24044,5644,3530.8037,644925651851
2,18,28,1956,2,2012,3,24044,5520,3504.7129,644925651851
2,18,28,1944,11,2011,3,24044,5768,3359.9812,644925651851
2,18,28,1939,12,2011,3,24044,6244,3398.7932,644925651851
